response;title;year;rated;released;runtime;genre;director;writer;actors;plot;language;country;awards;poster;metascore;imdbRating;imdbVotes;imdbID;type;season;episode;seriesID
True;The Sealed Room;1909;N/A;02 Sep 1909;11 min;Short, Drama, Horror;D.W. Griffith;N/A;Arthur V. Johnson, Marion Leonard, Henry B. Walthall;A king exacts vengeance upon his faithless mistress and her lover.;English;USA;N/A;http://ia.media-imdb.com/images/M/MV5BMDlmYzgwZmItNzdlMS00ZmE5LThkYmUtYmNhNjAyY2FlMmFiXkEyXkFqcGdeQXVyMTYxNjkxOQ@@._V1_SX300.jpg;N/A;6,1;442;tt0001032;movie;;;
True;Twenty Minutes of Love;1914;N/A;20 Apr 1914;20 min;Comedy, Short;Joseph Maddern, Charles Chaplin;N/A;Charles Chaplin, Minta Durfee, Edgar Kennedy, Gordon Griffith;Charlie is hanging around in the park, finding problems with a jealous suitor, a man who thinks that Charlie has robbed him a watch, a policeman and even a little boy, all because our friend can't stop snooping.;English;USA;N/A;N/A;N/A;5,9;650;tt0004736;movie;;;
True;A Burlesque on Carmen;1915;N/A;18 Dec 1915;31 min;Short, Comedy;Charles Chaplin;Prosper Mérimée (novel);Charles Chaplin, Edna Purviance, John Rand, Jack Henderson;A gypsy seductress is sent to sway a goofy officer to allow a smuggling run.;English;USA;N/A;N/A;N/A;6,1;492;tt0005077;movie;;;
True;The Pride of the Clan;1917;N/A;07 Jan 1917;84 min;Drama, Romance;Maurice Tourneur;Elaine S. Carrington (scenario), Charles E. Whittaker (scenario);Mary Pickford, Matt Moore, Warren Cook, Kathryn Browne-Decker;Donald MacTavish, the last chieftain of his clan on an island off the coast of Scotland, dies at sea. This leaves his only daughter, Marget, to assume the responsibilities of leadership. ...;English;USA;N/A;http://ia.media-imdb.com/images/M/MV5BMTMzMzY3MDA4Ml5BMl5BanBnXkFtZTcwMzAzMzg3Mg@@._V1_SX300.jpg;N/A;7;41;tt0008458;movie;;;
True;The Goat;1921;N/A;15 May 1921;23 min;Comedy, Short;Buster Keaton, Malcolm St. Clair;Buster Keaton, Malcolm St. Clair;Buster Keaton, Virginia Fox, Joe Roberts, Malcolm St. Clair;A series of adventures begins when an accident during photographing causes Buster to be mistaken for Dead Shot Dan, the evil badguy.;English;USA;N/A;http://ia.media-imdb.com/images/M/MV5BMTQzMzQ5Mjk0NV5BMl5BanBnXkFtZTgwNTQ4MTI2MzE@._V1_SX300.jpg;N/A;7,8;2,213;tt0012224;movie;;;
True;Grass: A Nation's Battle for Life;1925;PASSED;20 Mar 1925;71 min;Documentary;Merian C. Cooper, Ernest B. Schoedsack;Richard Carver (titled by), Terry Ramsaye (titled by);Merian C. Cooper, Ernest B. Schoedsack, Marguerite Harrison, Haidar Khan;The struggles of a hardscrabble Iranian nomadic tribe as they journey through bleak country to reach the grasslands that will save their livestock.;N/A;USA;1 win.;http://ia.media-imdb.com/images/M/MV5BMTI0MzA5OTk2M15BMl5BanBnXkFtZTcwNzM2NzYxMQ@@._V1_SX300.jpg;N/A;7,9;688;tt0015873;movie;;;
True;Putting Pants on Philip;1927;N/A;03 Dec 1927;19 min;Comedy, Short;Clyde Bruckman;Leo McCarey (story), H.M. Walker;Stan Laurel, Oliver Hardy, Chester A. Bachman, Don Bailey;Pompous J. Piedmont Mumblethunder, greets his nephew from Scotland, who arrives in kilts. He is immediately taken to a tailor for a pair of proper pants.;English;USA;N/A;http://ia.media-imdb.com/images/M/MV5BOTQ0NzY4NDYyOV5BMl5BanBnXkFtZTcwMTc3MTUxMQ@@._V1._CR50,55,237,361_SX89_AL_.jpg_V1_SX300.jpg;N/A;6,9;533;tt0018294;movie;;;
True;Show People;1928;NOT RATED;20 Nov 1928;83 min;Comedy, Romance;King Vidor;Agnes Christine Johnston (treatment), Laurence Stallings (treatment), Wanda Tuchock (continuity), Ralph Spence (titles);Marion Davies, William Haines, Dell Henderson, Paul Ralli;A young lady from Georgia goes to Hollywood in the hopes of becoming an actress.;N/A;USA;1 win.;http://ia.media-imdb.com/images/M/MV5BMTQ3MTUwMTg2Nl5BMl5BanBnXkFtZTgwMTM2ODAyMjE@._V1_SX300.jpg;N/A;8,2;2,708;tt0019379;movie;;;
True;The Last of Mrs. Cheyney;1929;PASSED;06 Jul 1929;94 min;Comedy, Drama;Sidney Franklin;Frederick Lonsdale (from the play by), Hanns Kräly (continuity), Claudine West (continuity);Norma Shearer, Basil Rathbone, George Barraud, Herbert Bunston;There is a big charity function at the house of Mrs. Cheyney and a lot of society is present. With her rich husband, deceased, rich old Lord Elton and playboy Lord Arthur Dilling are both ...;English;USA;N/A;http://ia.media-imdb.com/images/M/MV5BMzc1MjU1MDg3NV5BMl5BanBnXkFtZTgwMTE5NzM2MzE@._V1_SX300.jpg;N/A;5,9;270;tt0020081;movie;;;
True;Borderline;1930;NOT RATED;13 Oct 1930;63 min;Drama;Kenneth MacPherson;Kenneth MacPherson;Paul Robeson, Eslanda Robeson, Hilda Doolittle, Gavin Arthur;A negro woman having an adulterous affair with a white man causes his wife to go mad and re-enforces the towns-folk's prejudice against Negroes.;N/A;UK;N/A;http://ia.media-imdb.com/images/M/MV5BMTkyNTU2MTMyNV5BMl5BanBnXkFtZTcwNDM2NTA0MQ@@._V1_SX300.jpg;N/A;6,3;277;tt0020701;movie;;;
True;Miss Europe;1930;N/A;01 Aug 1930;93 min;Drama;Augusto Genina;René Clair (idea and adaptation), Georg Wilhelm Pabst (adaptation);Louise Brooks, Georges Charlia, Augusto Bandini, André Nicolle;Lucienne, typist and gorgeous bathing beauty, decides to enter the 'Miss Europe' pageant sponsored by the French newspaper she works for. She finds her jealous lover Andre violently ...;French;France;N/A;http://ia.media-imdb.com/images/M/MV5BMTIzODI5NjIwNl5BMl5BanBnXkFtZTcwMzA1OTEzMQ@@._V1_SX300.jpg;N/A;7;412;tt0021273;movie;;;
True;Shivering Shakespeare;1930;N/A;25 Jan 1930;20 min;Comedy, Family, Short;Robert A. McGowan;N/A;Norman 'Chubby' Chaney, Allen 'Farina' Hoskins, Jackie Cooper, Mary Ann Jackson;The gang is participating in a program sponsored by the Golden Age Dramatic League. They present their own fractured version of Quo Vadis? (1924). Things go from bad to worse when the ...;English;USA;N/A;http://ia.media-imdb.com/images/M/MV5BMTgxNjQwOTYyNl5BMl5BanBnXkFtZTcwNDU5NDc5Mw@@._V1_SX300.jpg;N/A;7,4;72;tt0021366;movie;;;
True;Dance, Fools, Dance;1931;APPROVED;07 Feb 1931;80 min;Crime, Drama, Romance;Harry Beaumont;Aurania Rouverol (story), Aurania Rouverol (dialogue), Richard Schayer (continuity);Joan Crawford, Lester Vail, Cliff Edwards, William Bakewell;After the death of her father and loss of the family fortune, Bonnie gets a job as a cub reporter while her brother becomes involved in bootlegging.;English;USA;N/A;http://ia.media-imdb.com/images/M/MV5BMTM2NjA2NzM2OV5BMl5BanBnXkFtZTYwMjI0NTI2._V1_SX300.jpg;N/A;5,9;525;tt0021778;movie;;;
True;The Crooked Circle;1932;N/A;25 Sep 1932;70 min;Comedy, Mystery;H. Bruce Humberstone;Ralph Spence (screenplay), Tim Whelan (additional dialogue);Zasu Pitts, James Gleason, Ben Lyon, Irene Purcell;A group of amateur detectives sets out to expose The Crooked Circle, a secretive group of hooded occultists.;English;USA;N/A;http://ia.media-imdb.com/images/M/MV5BMTcyMDU1ODEyNF5BMl5BanBnXkFtZTcwMzQ3NDgyMQ@@._V1_SX300.jpg;N/A;6,3;212;tt0022788;movie;;;
